destination,country,continent,city,place_name,place_variant,avg cost (usd/day),avg_temp_year,hiking_score,beach_score,nightlife_score,culture_score,food_score,adventure_score,nature_score,safety_score,accommodation_type,terrain_type,travel_style
Vietnam,Vietnam,Asia,Da Lat,Waterfalls and Canyoning,local experience,120.45,27.0,8.0,3.0,5.0,5.0,6.0,8.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Brazil,Brazil,South America,Bahia,Praia do Forte,local experience,98.94,28.3,4.0,9.0,5.0,5.0,6.0,5.0,8.0,6.0,Resort/Apartment,Coastal,Relaxation
Morocco,Morocco,Africa,Marrakech,Budget Medina Hostels,nearby district,93.0,24.3,4.0,5.0,6.0,8.0,6.0,4.0,5.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Spain,Spain,Europe,Madrid,Museums and Parks,local experience,170.59,22.2,6.0,7.0,3.0,8.0,8.0,5.0,8.0,7.0,Standard Hotel,Urban-Heritage,Family
Peru,Peru,South America,Arequipa,Slow Colonial Stay,local experience,132.16,19.2,5.0,,4.0,7.0,6.0,5.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
India,India,Asia,Kerala,Western Ghats Trails,local experience,106.97,23.2,9.0,5.0,4.0,6.0,5.0,10.0,9.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
USA,USA,North America,Yellowstone,Family Nature Trip,local experience,154.78,16.4,5.0,7.0,2.0,7.0,6.0,5.0,8.0,8.0,Standard Hotel,Urban-Heritage,Family
Canada,Canada,North America,Vancouver Island,Quiet Coastal Stay,main area,152.85,6.8,5.0,9.0,6.0,6.0,7.0,5.0,,8.0,Resort/Apartment,Coastal,Relaxation
Brazil,Brazil,South America,Rio de Janeiro,Copacabana Luxury Hotels,main area,210.86,25.5,4.0,7.0,7.0,6.0,8.0,6.0,6.0,6.0,Resort/Apartment,Coastal,Luxury
Japan,Japan,Asia,Tokyo,Disney and Museums,main area,116.08,14.1,5.0,6.0,4.0,8.0,7.0,5.0,6.0,10.0,Standard Hotel,Urban-Heritage,Family
Peru,Peru,South America,Cusco,Family Heritage Tours,nearby district,142.0,16.6,6.0,7.0,3.0,8.0,7.0,6.0,6.0,7.0,Standard Hotel,Urban-Heritage,Family
China,China,Asia,Hangzhou,West Lake,nearby district,186.12,11.0,5.0,9.0,6.0,5.0,6.0,5.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
Brazil,Brazil,South America,Buzios,Beach Town,nearby district,126.55,24.5,5.0,8.0,7.0,4.0,8.0,4.0,9.0,6.0,Resort/Apartment,Coastal,Relaxation
Australia,Australia,Oceania,Northern Territory,Uluru Desert Routes,local experience,136.38,19.4,8.0,4.0,3.0,5.0,6.0,9.0,9.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Mexico,Mexico,North America,Puerto Vallarta,Pacific Beaches,day-trip zone,158.5,19.2,4.0,9.0,5.0,5.0,8.0,4.0,6.0,7.0,Resort/Apartment,Coastal,Relaxation
USA,USA,North America,Arizona,Grand Canyon,day-trip zone,131.7,10.8,8.0,,4.0,6.0,5.0,8.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Morocco,Morocco,Africa,Atlas Mountains,Toubkal Trails,main area,116.97,20.7,8.0,6.0,4.0,6.0,6.0,9.0,8.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Greece,Greece,Europe,Crete,Five Star Coast,day-trip zone,321.9,17.2,3.0,8.0,7.0,7.0,7.0,4.0,7.0,8.0,Resort/Apartment,Coastal,Luxury
Germany,Germany,Europe,Berchtesgaden,Alpine Lakes,local experience,99.55,9.3,8.0,5.0,5.0,6.0,7.0,8.0,9.0,9.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Argentina,Argentina,South America,Salta,Colonial Center,day-trip zone,150.31,16.7,4.0,3.0,6.0,9.0,8.0,5.0,4.0,8.0,Standard Hotel,Urban-Heritage,Culture
Australia,Australia,Oceania,Sydney,Harbour Culture,nearby district,157.5,15.8,4.0,3.0,6.0,9.0,8.0,5.0,6.0,7.0,Standard Hotel,Urban-Heritage,Culture
Greece,Greece,Europe,Thessaloniki,Byzantine Heritage,day-trip zone,159.87,19.2,4.0,4.0,7.0,10.0,9.0,3.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
India,India,Asia,Varanasi,Ganges Ghats,nearby district,122.76,24.0,4.0,2.0,5.0,10.0,7.0,5.0,6.0,6.0,Standard Hotel,Urban-Heritage,Culture
Canada,Canada,North America,Vancouver Island,Coastal Trails,local experience,150.3,7.7,8.0,8.0,6.0,6.0,6.0,8.0,8.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Greece,Greece,Europe,Naxos,Calm Family Coast,local experience,182.84,18.8,4.0,8.0,4.0,,7.0,5.0,6.0,8.0,Standard Hotel,Coastal,Family
Italy,Italy,Europe,Cinque Terre,Coastal Trails,day-trip zone,151.11,13.7,9.0,8.0,4.0,5.0,,8.0,9.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Kenya,Kenya,Africa,Hell’s Gate,Cycling and Cliffs,day-trip zone,129.23,21.8,10.0,5.0,4.0,6.0,7.0,9.0,8.0,6.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Morocco,Morocco,Africa,Rabat,Historic Capital,day-trip zone,134.49,25.4,3.0,3.0,6.0,9.0,8.0,6.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
Greece,Greece,Europe,Crete,Samaria Gorge,main area,165.78,19.0,9.0,3.0,3.0,4.0,7.0,8.0,8.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Kenya,Kenya,Africa,Maasai Mara,Safari Drives,main area,129.03,22.7,8.0,4.0,5.0,6.0,6.0,8.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Argentina,Argentina,South America,Bariloche,Lake Resorts,day-trip zone,220.74,15.3,4.0,8.0,6.0,8.0,8.0,5.0,5.0,7.0,Resort/Apartment,Coastal,Luxury
Spain,Spain,Europe,Madrid,High-end City Stay,day-trip zone,276.31,18.5,4.0,6.0,6.0,8.0,,4.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
Brazil,Brazil,South America,Curitiba,Parks and Museums,local experience,112.9,24.2,6.0,7.0,4.0,8.0,7.0,4.0,8.0,6.0,Standard Hotel,Urban-Heritage,Family
Vietnam,Vietnam,Asia,Hoi An,Slow Riverside Stay,day-trip zone,165.84,27.5,3.0,8.0,4.0,5.0,7.0,4.0,9.0,7.0,Resort/Apartment,Coastal,Relaxation
Kenya,Kenya,Africa,Maasai Mara,Luxury Safari Camps,main area,229.13,24.9,6.0,7.0,8.0,7.0,10.0,5.0,5.0,8.0,Resort/Apartment,Coastal,Luxury
Canada,Canada,North America,Jasper,Glacier Hikes,nearby district,143.88,5.9,8.0,6.0,4.0,7.0,7.0,9.0,9.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Argentina,Argentina,South America,Buenos Aires,San Telmo Historic Quarter,main area,137.57,14.8,4.0,5.0,6.0,10.0,10.0,4.0,4.0,7.0,Standard Hotel,Urban-Heritage,Culture
Japan,Japan,Asia,Nara,Deer Park,day-trip zone,123.2,14.8,6.0,7.0,3.0,6.0,8.0,5.0,8.0,,Standard Hotel,Mountain-Nature,Family
Vietnam,Vietnam,Asia,Da Nang,Family Beaches,main area,159.43,28.5,6.0,8.0,3.0,6.0,7.0,5.0,6.0,7.0,Standard Hotel,Coastal,Family
USA,USA,North America,Arizona,Grand Canyon,day-trip zone,137.64,17.3,9.0,4.0,5.0,5.0,6.0,9.0,8.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
New Zealand,New Zealand,Oceania,Queenstown,Lake Activities,day-trip zone,176.79,13.0,4.0,6.0,3.0,7.0,7.0,4.0,5.0,9.0,Standard Hotel,Urban-Heritage,Family
Brazil,Brazil,South America,Rio de Janeiro,Budget Beach Neighborhoods,local experience,61.0,23.2,4.0,8.0,7.0,8.0,6.0,5.0,5.0,6.0,Guesthouse/Hostel,Coastal,Budget
India,India,Asia,Varanasi,Ganges Ghats,nearby district,,25.0,4.0,3.0,5.0,9.0,9.0,5.0,5.0,7.0,Standard Hotel,Urban-Heritage,Culture
Australia,Australia,Oceania,Sydney,Harbour Culture,nearby district,161.03,25.4,3.0,3.0,5.0,10.0,6.0,3.0,7.0,8.0,Standard Hotel,Urban-Heritage,Culture
Australia,Australia,Oceania,Noosa,Sunshine Coast Beaches,day-trip zone,153.37,23.4,4.0,10.0,4.0,4.0,7.0,6.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Greece,Greece,Europe,Mykonos,Beach Clubs,nearby district,192.4,19.3,4.0,8.0,6.0,5.0,7.0,5.0,8.0,8.0,Resort/Apartment,Coastal,Relaxation
Argentina,Argentina,South America,Mar del Plata,Family Beaches,local experience,151.44,16.3,5.0,8.0,3.0,5.0,8.0,7.0,7.0,8.0,Standard Hotel,Coastal,Family
Mexico,Mexico,North America,Merida,Budget Heritage Base,day-trip zone,84.22,25.8,4.0,7.0,5.0,8.0,7.0,5.0,7.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Greece,Greece,Europe,Thessaloniki,Byzantine Heritage,day-trip zone,182.57,19.4,,2.0,6.0,8.0,7.0,5.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Japan,Japan,Asia,Kyoto,Ryokan Stays,nearby district,191.88,15.4,5.0,6.0,7.0,6.0,8.0,6.0,6.0,9.0,Resort/Apartment,Coastal,Luxury
Germany,Germany,Europe,Baden-Baden,Thermal Spas,main area,120.06,11.5,3.0,8.0,5.0,6.0,8.0,5.0,6.0,8.0,Resort/Apartment,Coastal,Relaxation
Mexico,Mexico,North America,Oaxaca,Sierra Norte Trails,local experience,135.59,19.5,8.0,5.0,4.0,5.0,7.0,9.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Kenya,Kenya,Africa,Mombasa,Old Town,day-trip zone,132.74,19.1,4.0,3.0,4.0,9.0,9.0,6.0,5.0,6.0,Standard Hotel,Urban-Heritage,Culture
Greece,Greece,Europe,Crete,Samaria Gorge,main area,183.48,18.3,8.0,4.0,4.0,6.0,7.0,9.0,9.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Kenya,Kenya,Africa,Kisumu,Affordable Lakeside,local experience,98.38,21.8,4.0,5.0,6.0,6.0,7.0,5.0,5.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
New Zealand,New Zealand,Oceania,Fiordland,Milford Track,nearby district,133.62,11.7,9.0,4.0,4.0,6.0,6.0,9.0,9.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Egypt,Egypt,Africa,Luxor,Nile Cruise,nearby district,218.72,28.1,5.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,Resort/Apartment,Coastal,Luxury
Peru,Peru,South America,Huaraz,Budget Trekking Base,local experience,62.8,16.8,6.0,6.0,5.0,6.0,8.0,6.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Budget
France,France,Europe,Marne-la-Vallee,Disneyland Paris,nearby district,146.74,15.2,5.0,6.0,5.0,7.0,7.0,5.0,8.0,9.0,Standard Hotel,Urban-Heritage,Family
Italy,Italy,Europe,Lake Como,Luxury Villas,main area,302.05,14.9,4.0,9.0,7.0,7.0,8.0,4.0,5.0,7.0,Resort/Apartment,Coastal,Luxury
Egypt,Egypt,Africa,Luxor,Temple Tours,day-trip zone,130.43,22.4,5.0,8.0,2.0,8.0,7.0,5.0,8.0,7.0,Standard Hotel,Urban-Heritage,Family
Peru,Peru,South America,Sacred Valley,Luxury Lodges,main area,208.58,15.7,7.0,7.0,5.0,6.0,9.0,6.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
USA,USA,North America,Sedona,Desert Spa Stay,local experience,161.12,16.5,4.0,9.0,4.0,5.0,8.0,5.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
Mexico,Mexico,North America,Riviera Maya,All Inclusive Hotels,nearby district,258.11,23.6,3.0,8.0,8.0,8.0,9.0,6.0,6.0,6.0,Resort/Apartment,Coastal,Luxury
Brazil,Brazil,South America,Foz do Iguacu,Iguazu Falls Trails,main area,99.37,25.3,8.0,4.0,3.0,5.0,6.0,9.0,9.0,5.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Egypt,Egypt,Africa,Marsa Alam,Resort Coast,local experience,220.06,22.5,5.0,8.0,7.0,6.0,7.0,5.0,6.0,8.0,Resort/Apartment,Coastal,Luxury
Greece,Greece,Europe,Naxos,Budget Island Stay,nearby district,105.77,21.7,6.0,8.0,7.0,6.0,7.0,5.0,7.0,7.0,Guesthouse/Hostel,Coastal,Budget
Greece,Greece,Europe,Rhodes,Old Town and Beaches,nearby district,202.76,17.3,4.0,8.0,5.0,8.0,7.0,5.0,7.0,7.0,Standard Hotel,Coastal,Family
Canada,Canada,North America,Vancouver Island,Quiet Coastal Stay,main area,169.61,8.8,4.0,9.0,6.0,7.0,7.0,4.0,8.0,9.0,Resort/Apartment,Coastal,Relaxation
China,China,Asia,Yunnan,Tiger Leaping Gorge,day-trip zone,184.26,12.7,9.0,4.0,4.0,4.0,5.0,10.0,8.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Argentina,Argentina,South America,Mendoza,Budget Wine Hostels,nearby district,57.77,13.6,6.0,4.0,6.0,7.0,8.0,5.0,5.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
Peru,Peru,South America,Cusco,Inca Trail,main area,104.22,19.3,8.0,6.0,4.0,5.0,6.0,8.0,9.0,7.0,Guesthouse/Hostel,Mountain-Nature,Adventure
Germany,Germany,Europe,Munich,Bavarian Culture,nearby district,125.1,10.9,4.0,5.0,7.0,8.0,9.0,5.0,5.0,9.0,Standard Hotel,Urban-Heritage,Culture
Egypt,Egypt,Africa,Marsa Alam,Resort Coast,local experience,224.44,29.3,6.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,Resort/Apartment,Coastal,Luxury
Spain,Spain,Europe,Madrid,Museums and Parks,local experience,176.67,19.3,6.0,8.0,3.0,8.0,6.0,5.0,8.0,8.0,Standard Hotel,Urban-Heritage,Family
Spain,Spain,Europe,Valencia,Science City,nearby district,185.96,,6.0,8.0,3.0,8.0,7.0,6.0,7.0,9.0,Standard Hotel,Urban-Heritage,Family
Thailand,Thailand,Asia,Chiang Mai,Old City Temples,nearby district,140.25,26.3,,4.0,5.0,9.0,9.0,4.0,4.0,8.0,Standard Hotel,Urban-Heritage,Culture
Canada,Canada,North America,Niagara Falls,Family Attractions,day-trip zone,160.03,7.4,5.0,7.0,4.0,7.0,8.0,5.0,7.0,9.0,Standard Hotel,Urban-Heritage,Family
USA,USA,North America,Sedona,Desert Spa Stay,local experience,167.23,14.3,,8.0,4.0,4.0,8.0,3.0,6.0,7.0,Resort/Apartment,Coastal,Relaxation
Spain,Spain,Europe,Pyrenees,Mountain Trails,main area,161.74,13.2,8.0,5.0,4.0,6.0,5.0,9.0,10.0,8.0,Guesthouse/Hostel,Mountain-Nature,Adventure
New Zealand,New Zealand,Oceania,Rotorua,Budget Motels,day-trip zone,80.21,8.5,5.0,6.0,6.0,7.0,9.0,6.0,7.0,9.0,Guesthouse/Hostel,Urban-Heritage,Budget
South Africa,South Africa,Africa,Durban,Budget Beachfront,day-trip zone,111.45,16.4,5.0,8.0,7.0,8.0,6.0,5.0,7.0,5.0,Guesthouse/Hostel,Coastal,Budget
Japan,Japan,Asia,Kyoto,Zen Gardens,day-trip zone,113.84,17.4,,7.0,6.0,6.0,8.0,4.0,7.0,9.0,Resort/Apartment,Coastal,Relaxation
Greece,Greece,Europe,Naxos,Calm Family Coast,local experience,194.13,22.7,5.0,8.0,4.0,7.0,7.0,6.0,7.0,10.0,Standard Hotel,Coastal,Family
Australia,Australia,Oceania,Gold Coast,Beach Resorts,main area,163.39,19.6,5.0,8.0,5.0,8.0,6.0,4.0,7.0,8.0,Resort/Apartment,Coastal,Relaxation
Morocco,Morocco,Africa,Agadir,Beach Resorts,nearby district,136.84,20.6,5.0,,5.0,5.0,9.0,5.0,8.0,8.0,Resort/Apartment,Coastal,Relaxation
Spain,Spain,Europe,Madrid,Museums and Parks,local experience,,19.1,6.0,7.0,3.0,8.0,6.0,7.0,8.0,9.0,Standard Hotel,Urban-Heritage,Family
India,India,Asia,Goa,Budget Beach Huts,day-trip zone,92.62,,5.0,8.0,6.0,6.0,7.0,6.0,5.0,6.0,Guesthouse/Hostel,Coastal,Budget
Greece,Greece,Europe,Athens,Hostel Center,local experience,102.98,19.4,5.0,7.0,6.0,7.0,8.0,6.0,7.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Spain,Spain,Europe,Seville,Alcazar and Flamenco,day-trip zone,154.21,20.7,3.0,4.0,6.0,8.0,7.0,4.0,7.0,8.0,Standard Hotel,Urban-Heritage,Culture
Japan,Japan,Asia,Kanazawa,Samurai and Gardens,local experience,120.8,13.8,5.0,3.0,5.0,10.0,9.0,4.0,5.0,9.0,Standard Hotel,Urban-Heritage,Culture
Egypt,Egypt,Africa,Luxor,Nile Cruise,nearby district,236.14,22.8,5.0,8.0,6.0,6.0,9.0,5.0,5.0,6.0,Resort/Apartment,Coastal,Luxury
Brazil,Brazil,South America,Florianopolis,Family Beaches,nearby district,,19.8,6.0,8.0,5.0,8.0,8.0,6.0,5.0,6.0,Standard Hotel,Coastal,Family
Mexico,Mexico,North America,Merida,Budget Heritage Base,day-trip zone,86.45,23.0,5.0,5.0,6.0,8.0,,7.0,6.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
Vietnam,Vietnam,Asia,Hoi An,Slow Riverside Stay,day-trip zone,145.78,26.3,4.0,9.0,6.0,5.0,8.0,3.0,7.0,7.0,Resort/Apartment,Coastal,Relaxation
Australia,Australia,Oceania,Melbourne,Hostel Laneways,main area,109.99,25.1,5.0,5.0,5.0,6.0,9.0,5.0,5.0,8.0,Guesthouse/Hostel,Urban-Heritage,Budget
Argentina,Argentina,South America,Buenos Aires,Palermo Hostel Area,local experience,83.23,18.7,6.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,Guesthouse/Hostel,Urban-Heritage,Budget
France,France,Europe,Paris,Museums and Monuments,main area,136.55,9.6,3.0,3.0,6.0,10.0,10.0,4.0,5.0,8.0,Standard Hotel,Urban-Heritage,Culture
Peru,Peru,South America,Lima,Affordable Food Stay,nearby district,73.74,16.8,5.0,5.0,7.0,8.0,8.0,6.0,6.0,7.0,Guesthouse/Hostel,Urban-Heritage,Budget
